Episode,Action,Probability,Done
10,15,0.0,False
10,9,0.0,False
10,4,0.0,False
10,6,0.0,False
10,4,0.0,False
10,4,0.0,True
11,0,0.19699999999999998,False
11,19,0.444,False
11,10,0.0,False
11,7,0.0,False
11,18,0.0,False
11,8,0.0,False
11,14,0.0,False
11,3,0.0,False
11,3,0.0,True
12,18,0.0,False
12,18,0.0,False
12,4,0.0,False
12,18,0.0,False
12,13,0.0,False
12,13,0.0,False
12,18,0.0,False
12,14,0.0,False
12,3,0.0,False
12,3,0.0,True
13,19,0.23,False
13,12,0.0,False
13,10,0.0,False
13,19,0.537,False
13,0,0.0,False
13,11,0.0,False
13,14,0.0,False
13,0,0.0,False
13,0,0.0,True
14,13,0.0,False
14,4,0.0,False
14,0,0.335,False
14,2,0.0,False
14,1,0.47,False
14,13,0.0,False
14,7,0.0,False
14,17,0.0,False
14,9,0.0,False
14,16,0.0,True
15,12,0.0,False
15,12,0.0,False
15,1,0.0,False
15,13,0.0,False
15,9,0.0,False
15,7,0.0,False
15,14,0.0,False
15,18,0.0,False
15,3,0.0,True
16,16,0.0,False
16,0,0.513,False
16,18,0.0,False
16,19,0.434,False
16,19,0.99,False
16,18,0.45299999999999996,False
16,15,0.0,False
16,10,0.0,False
16,19,0.0,False
16,9,0.0,False
16,10,0.0,False
16,2,0.0,False
16,10,0.0,False
16,2,0.0,False
16,10,0.0,True
17,18,0.0,False
17,14,0.0,False
17,19,0.213,False
17,5,0.0,False
17,18,0.0,False
17,18,0.0,False
17,13,0.0,False
17,15,0.0,True
18,9,0.0,False
18,13,0.0,False
18,14,0.0,False
18,18,0.0,False
18,19,0.336,False
18,13,0.0,False
18,0,0.0,False
18,1,0.99,False
18,13,0.595,False
18,13,0.066,False
18,10,0.0,True
19,9,0.0,False
19,19,0.281,False
19,18,0.0,False
19,4,0.0,False
19,13,0.0,False
19,2,0.0,False
19,6,0.0,False
19,16,0.0,False
19,5,0.0,False
19,17,0.0,False
19,18,0.0,False
19,14,0.0,False
19,14,0.0,False
19,3,0.0,True
20,13,0.0,False
20,0,0.0,False
20,10,0.0,False
20,1,0.317,False
20,9,0.0,False
20,0,0.0,False
20,15,0.0,False
20,12,0.0,False
20,19,0.0,False
20,16,0.0,False
20,15,0.0,True
21,12,0.0,False
21,4,0.0,False
21,18,0.0,False
21,0,0.39399999999999996,False
21,18,0.0,False
21,4,0.0,False
21,4,0.0,False
21,9,0.0,False
21,18,0.0,False
21,14,0.0,False
21,4,0.0,True
22,19,0.99,False
22,17,0.536,False
22,3,0.0,False
22,15,0.0,False
22,0,0.99,False
22,9,0.0,False
22,9,0.0,True
23,9,0.0,False
23,10,0.0,False
23,14,0.0,False
23,4,0.0,False
23,19,0.0,False
23,4,0.0,False
23,13,0.0,False
23,11,0.0,False
23,14,0.0,True
24,1,0.0,False
24,1,0.99,False
24,1,0.575,False
24,13,0.0,False
24,4,0.0,False
24,7,0.0,False
24,17,0.0,False
24,0,0.0,False
24,18,0.0,False
24,19,0.0,False
24,7,0.99,False
24,15,0.586,False
24,8,0.597,False
24,18,0.534,True
25,9,0.0,False
25,12,0.0,False
25,4,0.0,False
25,19,0.301,False
25,2,0.0,False
25,1,0.99,False
25,18,0.5870000000000001,False
25,4,0.0,False
25,18,0.0,False
25,5,0.0,False
25,5,0.0,False
25,7,0.0,False
25,17,0.0,False
25,9,0.0,True
26,0,0.11800000000000001,False
26,12,0.0,False
26,10,0.0,False
26,19,0.20199999999999999,False
26,2,0.0,False
26,17,0.99,False
26,3,0.0,False
26,4,0.0,False
26,4,0.0,True
27,1,0.0,False
27,2,0.0,False
27,12,0.99,False
27,18,0.361,False
27,3,0.361,True
28,18,0.0,False
28,13,0.0,False
28,10,0.0,False
28,11,0.0,False
28,1,0.0,False
28,1,0.35700000000000004,False
28,4,0.0,False
28,18,0.0,False
28,5,0.0,False
28,10,0.0,False
28,18,0.0,False
28,6,0.0,True
29,4,0.0,False
29,13,0.0,False
29,18,0.0,False
29,16,0.0,False
29,2,0.0,False
29,13,0.0,False
29,18,0.0,False
29,16,0.0,False
29,0,0.0,False
